timestamp_iso,heart_rate_bpm
2025-10-08T23:00:00+02:00,60
2025-10-08T23:01:00+02:00,58
2025-10-08T23:02:00+02:00,61
2025-10-08T23:03:00+02:00,62
2025-10-08T23:04:00+02:00,57
2025-10-08T23:05:00+02:00,58
2025-10-08T23:06:00+02:00,61
2025-10-08T23:07:00+02:00,60
2025-10-08T23:08:00+02:00,60
2025-10-08T23:09:00+02:00,59
2025-10-08T23:10:00+02:00,62
2025-10-08T23:11:00+02:00,62
2025-10-08T23:12:00+02:00,61
2025-10-08T23:13:00+02:00,62
2025-10-08T23:14:00+02:00,62
2025-10-08T23:15:00+02:00,60
2025-10-08T23:16:00+02:00,61
2025-10-08T23:17:00+02:00,60
2025-10-08T23:18:00+02:00,62
2025-10-08T23:19:00+02:00,61
2025-10-08T23:20:00+02:00,61
2025-10-08T23:21:00+02:00,60
2025-10-08T23:22:00+02:00,63
2025-10-08T23:23:00+02:00,61
2025-10-08T23:24:00+02:00,61
2025-10-08T23:25:00+02:00,61
2025-10-08T23:26:00+02:00,62
2025-10-08T23:27:00+02:00,62
2025-10-08T23:28:00+02:00,62
2025-10-08T23:29:00+02:00,62
2025-10-08T23:30:00+02:00,65
2025-10-08T23:31:00+02:00,61
2025-10-08T23:32:00+02:00,61
2025-10-08T23:33:00+02:00,61
2025-10-08T23:34:00+02:00,63
2025-10-08T23:35:00+02:00,64
2025-10-08T23:36:00+02:00,62
2025-10-08T23:37:00+02:00,61
2025-10-08T23:38:00+02:00,61
2025-10-08T23:39:00+02:00,63
2025-10-08T23:40:00+02:00,63
2025-10-08T23:41:00+02:00,63
2025-10-08T23:42:00+02:00,61
2025-10-08T23:43:00+02:00,63
2025-10-08T23:44:00+02:00,62
2025-10-08T23:45:00+02:00,63
2025-10-08T23:46:00+02:00,64
2025-10-08T23:47:00+02:00,63
2025-10-08T23:48:00+02:00,63
2025-10-08T23:49:00+02:00,63
2025-10-08T23:50:00+02:00,63
2025-10-08T23:51:00+02:00,63
2025-10-08T23:52:00+02:00,60
2025-10-08T23:53:00+02:00,62
2025-10-08T23:54:00+02:00,62
2025-10-08T23:55:00+02:00,62
2025-10-08T23:56:00+02:00,62
2025-10-08T23:57:00+02:00,65
2025-10-08T23:58:00+02:00,61
2025-10-08T23:59:00+02:00,64
2025-10-09T00:00:00+02:00,60
2025-10-09T00:01:00+02:00,62
2025-10-09T00:02:00+02:00,63
2025-10-09T00:03:00+02:00,64
2025-10-09T00:04:00+02:00,64
2025-10-09T00:05:00+02:00,64
2025-10-09T00:06:00+02:00,62
2025-10-09T00:07:00+02:00,62
2025-10-09T00:08:00+02:00,64
2025-10-09T00:09:00+02:00,63
2025-10-09T00:10:00+02:00,61
2025-10-09T00:11:00+02:00,61
2025-10-09T00:12:00+02:00,62
2025-10-09T00:13:00+02:00,64
2025-10-09T00:14:00+02:00,63
2025-10-09T00:15:00+02:00,64
2025-10-09T00:16:00+02:00,62
2025-10-09T00:17:00+02:00,63
2025-10-09T00:18:00+02:00,64
2025-10-09T00:19:00+02:00,63
2025-10-09T00:20:00+02:00,64
2025-10-09T00:21:00+02:00,62
2025-10-09T00:22:00+02:00,62
2025-10-09T00:23:00+02:00,62
2025-10-09T00:24:00+02:00,61
2025-10-09T00:25:00+02:00,64
2025-10-09T00:26:00+02:00,62
2025-10-09T00:27:00+02:00,63
2025-10-09T00:28:00+02:00,64
2025-10-09T00:29:00+02:00,64
2025-10-09T00:30:00+02:00,64
2025-10-09T00:31:00+02:00,63
2025-10-09T00:32:00+02:00,62
2025-10-09T00:33:00+02:00,63
2025-10-09T00:34:00+02:00,60
2025-10-09T00:35:00+02:00,61
2025-10-09T00:36:00+02:00,61
2025-10-09T00:37:00+02:00,61
2025-10-09T00:38:00+02:00,63
2025-10-09T00:39:00+02:00,61
2025-10-09T00:40:00+02:00,62
2025-10-09T00:41:00+02:00,65
2025-10-09T00:42:00+02:00,62
2025-10-09T00:43:00+02:00,64
2025-10-09T00:44:00+02:00,61
2025-10-09T00:45:00+02:00,62
2025-10-09T00:46:00+02:00,61
2025-10-09T00:47:00+02:00,62
2025-10-09T00:48:00+02:00,64
2025-10-09T00:49:00+02:00,60
2025-10-09T00:50:00+02:00,63
2025-10-09T00:51:00+02:00,63
2025-10-09T00:52:00+02:00,62
2025-10-09T00:53:00+02:00,60
2025-10-09T00:54:00+02:00,62
2025-10-09T00:55:00+02:00,62
2025-10-09T00:56:00+02:00,63
2025-10-09T00:57:00+02:00,62
2025-10-09T00:58:00+02:00,65
2025-10-09T00:59:00+02:00,62
2025-10-09T01:00:00+02:00,61
2025-10-09T01:01:00+02:00,62
2025-10-09T01:02:00+02:00,62
2025-10-09T01:03:00+02:00,64
2025-10-09T01:04:00+02:00,63
2025-10-09T01:05:00+02:00,62
2025-10-09T01:06:00+02:00,64
2025-10-09T01:07:00+02:00,60
2025-10-09T01:08:00+02:00,61
2025-10-09T01:09:00+02:00,60
2025-10-09T01:10:00+02:00,61
2025-10-09T01:11:00+02:00,60
2025-10-09T01:12:00+02:00,63
2025-10-09T01:13:00+02:00,61
2025-10-09T01:14:00+02:00,59
2025-10-09T01:15:00+02:00,60
2025-10-09T01:16:00+02:00,62
2025-10-09T01:17:00+02:00,63
2025-10-09T01:18:00+02:00,64
2025-10-09T01:19:00+02:00,66
2025-10-09T01:20:00+02:00,62
2025-10-09T01:21:00+02:00,60
2025-10-09T01:22:00+02:00,58
2025-10-09T01:23:00+02:00,61
2025-10-09T01:24:00+02:00,60
2025-10-09T01:25:00+02:00,60
2025-10-09T01:26:00+02:00,71
2025-10-09T01:27:00+02:00,83
2025-10-09T01:28:00+02:00,95
2025-10-09T01:29:00+02:00,105
2025-10-09T01:30:00+02:00,115
2025-10-09T01:31:00+02:00,103
2025-10-09T01:32:00+02:00,91
2025-10-09T01:33:00+02:00,82
2025-10-09T01:34:00+02:00,71
2025-10-09T01:35:00+02:00,63
2025-10-09T01:36:00+02:00,60
2025-10-09T01:37:00+02:00,62
2025-10-09T01:38:00+02:00,59
2025-10-09T01:39:00+02:00,58
2025-10-09T01:40:00+02:00,59
2025-10-09T01:41:00+02:00,59
2025-10-09T01:42:00+02:00,63
2025-10-09T01:43:00+02:00,59
2025-10-09T01:44:00+02:00,61
2025-10-09T01:45:00+02:00,58
2025-10-09T01:46:00+02:00,61
2025-10-09T01:47:00+02:00,60
2025-10-09T01:48:00+02:00,59
2025-10-09T01:49:00+02:00,59
2025-10-09T01:50:00+02:00,58
2025-10-09T01:51:00+02:00,60
2025-10-09T01:52:00+02:00,59
2025-10-09T01:53:00+02:00,57
2025-10-09T01:54:00+02:00,57
2025-10-09T01:55:00+02:00,59
2025-10-09T01:56:00+02:00,61
2025-10-09T01:57:00+02:00,59
2025-10-09T01:58:00+02:00,59
2025-10-09T01:59:00+02:00,59
2025-10-09T02:00:00+02:00,61
2025-10-09T02:01:00+02:00,59
2025-10-09T02:02:00+02:00,58
2025-10-09T02:03:00+02:00,60
2025-10-09T02:04:00+02:00,59
2025-10-09T02:05:00+02:00,61
2025-10-09T02:06:00+02:00,59
2025-10-09T02:07:00+02:00,57
2025-10-09T02:08:00+02:00,56
2025-10-09T02:09:00+02:00,61
2025-10-09T02:10:00+02:00,61
2025-10-09T02:11:00+02:00,58
2025-10-09T02:12:00+02:00,58
2025-10-09T02:13:00+02:00,60
2025-10-09T02:14:00+02:00,56
2025-10-09T02:15:00+02:00,57
2025-10-09T02:16:00+02:00,59
2025-10-09T02:17:00+02:00,57
2025-10-09T02:18:00+02:00,58
2025-10-09T02:19:00+02:00,58
2025-10-09T02:20:00+02:00,58
2025-10-09T02:21:00+02:00,60
2025-10-09T02:22:00+02:00,58
2025-10-09T02:23:00+02:00,59
2025-10-09T02:24:00+02:00,55
2025-10-09T02:25:00+02:00,58
2025-10-09T02:26:00+02:00,56
2025-10-09T02:27:00+02:00,56
2025-10-09T02:28:00+02:00,56
2025-10-09T02:29:00+02:00,57
2025-10-09T02:30:00+02:00,59
2025-10-09T02:31:00+02:00,55
2025-10-09T02:32:00+02:00,57
2025-10-09T02:33:00+02:00,57
2025-10-09T02:34:00+02:00,57
2025-10-09T02:35:00+02:00,59
2025-10-09T02:36:00+02:00,58
2025-10-09T02:37:00+02:00,59
2025-10-09T02:38:00+02:00,57
2025-10-09T02:39:00+02:00,56
2025-10-09T02:40:00+02:00,57
2025-10-09T02:41:00+02:00,58
2025-10-09T02:42:00+02:00,57
2025-10-09T02:43:00+02:00,56
2025-10-09T02:44:00+02:00,57
2025-10-09T02:45:00+02:00,57
2025-10-09T02:46:00+02:00,61
2025-10-09T02:47:00+02:00,60
2025-10-09T02:48:00+02:00,56
2025-10-09T02:49:00+02:00,57
2025-10-09T02:50:00+02:00,55
2025-10-09T02:51:00+02:00,56
2025-10-09T02:52:00+02:00,58
2025-10-09T02:53:00+02:00,59
2025-10-09T02:54:00+02:00,56
2025-10-09T02:55:00+02:00,56
2025-10-09T02:56:00+02:00,54
2025-10-09T02:57:00+02:00,57
2025-10-09T02:58:00+02:00,55
2025-10-09T02:59:00+02:00,56
2025-10-09T03:00:00+02:00,56
2025-10-09T03:01:00+02:00,57
2025-10-09T03:02:00+02:00,54
2025-10-09T03:03:00+02:00,55
2025-10-09T03:04:00+02:00,60
2025-10-09T03:05:00+02:00,55
2025-10-09T03:06:00+02:00,55
2025-10-09T03:07:00+02:00,60
2025-10-09T03:08:00+02:00,61
2025-10-09T03:09:00+02:00,55
2025-10-09T03:10:00+02:00,57
2025-10-09T03:11:00+02:00,58
2025-10-09T03:12:00+02:00,60
2025-10-09T03:13:00+02:00,56
2025-10-09T03:14:00+02:00,57
2025-10-09T03:15:00+02:00,58
2025-10-09T03:16:00+02:00,58
2025-10-09T03:17:00+02:00,57
2025-10-09T03:18:00+02:00,57
2025-10-09T03:19:00+02:00,55
2025-10-09T03:20:00+02:00,57
2025-10-09T03:21:00+02:00,57
2025-10-09T03:22:00+02:00,58
2025-10-09T03:23:00+02:00,56
2025-10-09T03:24:00+02:00,58
2025-10-09T03:25:00+02:00,59
2025-10-09T03:26:00+02:00,58
2025-10-09T03:27:00+02:00,58
2025-10-09T03:28:00+02:00,58
2025-10-09T03:29:00+02:00,57
2025-10-09T03:30:00+02:00,56
2025-10-09T03:31:00+02:00,58
2025-10-09T03:32:00+02:00,57
2025-10-09T03:33:00+02:00,61
2025-10-09T03:34:00+02:00,60
2025-10-09T03:35:00+02:00,58
2025-10-09T03:36:00+02:00,57
2025-10-09T03:37:00+02:00,56
2025-10-09T03:38:00+02:00,60
2025-10-09T03:39:00+02:00,58
2025-10-09T03:40:00+02:00,59
2025-10-09T03:41:00+02:00,55
2025-10-09T03:42:00+02:00,59
2025-10-09T03:43:00+02:00,59
2025-10-09T03:44:00+02:00,56
2025-10-09T03:45:00+02:00,57
2025-10-09T03:46:00+02:00,59
2025-10-09T03:47:00+02:00,58
2025-10-09T03:48:00+02:00,58
2025-10-09T03:49:00+02:00,58
2025-10-09T03:50:00+02:00,58
2025-10-09T03:51:00+02:00,59
2025-10-09T03:52:00+02:00,61
2025-10-09T03:53:00+02:00,55
2025-10-09T03:54:00+02:00,58
2025-10-09T03:55:00+02:00,59
2025-10-09T03:56:00+02:00,59
2025-10-09T03:57:00+02:00,58
2025-10-09T03:58:00+02:00,56
2025-10-09T03:59:00+02:00,59
2025-10-09T04:00:00+02:00,61
2025-10-09T04:01:00+02:00,57
2025-10-09T04:02:00+02:00,60
2025-10-09T04:03:00+02:00,59
2025-10-09T04:04:00+02:00,59
2025-10-09T04:05:00+02:00,58
2025-10-09T04:06:00+02:00,59
2025-10-09T04:07:00+02:00,61
2025-10-09T04:08:00+02:00,60
2025-10-09T04:09:00+02:00,62
2025-10-09T04:10:00+02:00,61
2025-10-09T04:11:00+02:00,60
2025-10-09T04:12:00+02:00,62
2025-10-09T04:13:00+02:00,60
2025-10-09T04:14:00+02:00,61
2025-10-09T04:15:00+02:00,59
2025-10-09T04:16:00+02:00,60
2025-10-09T04:17:00+02:00,59
2025-10-09T04:18:00+02:00,61
2025-10-09T04:19:00+02:00,58
2025-10-09T04:20:00+02:00,61
2025-10-09T04:21:00+02:00,60
2025-10-09T04:22:00+02:00,62
2025-10-09T04:23:00+02:00,61
2025-10-09T04:24:00+02:00,63
2025-10-09T04:25:00+02:00,61
2025-10-09T04:26:00+02:00,58
2025-10-09T04:27:00+02:00,60
2025-10-09T04:28:00+02:00,59
2025-10-09T04:29:00+02:00,60
2025-10-09T04:30:00+02:00,63
2025-10-09T04:31:00+02:00,62
2025-10-09T04:32:00+02:00,60
2025-10-09T04:33:00+02:00,59
2025-10-09T04:34:00+02:00,61
2025-10-09T04:35:00+02:00,59
2025-10-09T04:36:00+02:00,60
2025-10-09T04:37:00+02:00,61
2025-10-09T04:38:00+02:00,63
2025-10-09T04:39:00+02:00,62
2025-10-09T04:40:00+02:00,58
2025-10-09T04:41:00+02:00,62
2025-10-09T04:42:00+02:00,61
2025-10-09T04:43:00+02:00,62
2025-10-09T04:44:00+02:00,64
2025-10-09T04:45:00+02:00,58
2025-10-09T04:46:00+02:00,61
2025-10-09T04:47:00+02:00,62
2025-10-09T04:48:00+02:00,59
2025-10-09T04:49:00+02:00,64
2025-10-09T04:50:00+02:00,62
2025-10-09T04:51:00+02:00,63
2025-10-09T04:52:00+02:00,61
2025-10-09T04:53:00+02:00,63
2025-10-09T04:54:00+02:00,63
2025-10-09T04:55:00+02:00,62
2025-10-09T04:56:00+02:00,62
2025-10-09T04:57:00+02:00,62
2025-10-09T04:58:00+02:00,61
2025-10-09T04:59:00+02:00,62
2025-10-09T05:00:00+02:00,62
2025-10-09T05:01:00+02:00,63
2025-10-09T05:02:00+02:00,64
2025-10-09T05:03:00+02:00,61
2025-10-09T05:04:00+02:00,62
2025-10-09T05:05:00+02:00,65
2025-10-09T05:06:00+02:00,71
2025-10-09T05:07:00+02:00,81
2025-10-09T05:08:00+02:00,93
2025-10-09T05:09:00+02:00,104
2025-10-09T05:10:00+02:00,113
2025-10-09T05:11:00+02:00,105
2025-10-09T05:12:00+02:00,94
2025-10-09T05:13:00+02:00,84
2025-10-09T05:14:00+02:00,73
2025-10-09T05:15:00+02:00,66
2025-10-09T05:16:00+02:00,62
2025-10-09T05:17:00+02:00,60
2025-10-09T05:18:00+02:00,65
2025-10-09T05:19:00+02:00,62
2025-10-09T05:20:00+02:00,63
2025-10-09T05:21:00+02:00,65
2025-10-09T05:22:00+02:00,60
2025-10-09T05:23:00+02:00,61
2025-10-09T05:24:00+02:00,60
2025-10-09T05:25:00+02:00,62
2025-10-09T05:26:00+02:00,64
2025-10-09T05:27:00+02:00,64
2025-10-09T05:28:00+02:00,63
2025-10-09T05:29:00+02:00,61
2025-10-09T05:30:00+02:00,59
2025-10-09T05:31:00+02:00,63
2025-10-09T05:32:00+02:00,62
2025-10-09T05:33:00+02:00,64
2025-10-09T05:34:00+02:00,64
2025-10-09T05:35:00+02:00,63
2025-10-09T05:36:00+02:00,64
2025-10-09T05:37:00+02:00,63
2025-10-09T05:38:00+02:00,64
2025-10-09T05:39:00+02:00,62
2025-10-09T05:40:00+02:00,63
2025-10-09T05:41:00+02:00,63
2025-10-09T05:42:00+02:00,64
2025-10-09T05:43:00+02:00,62
2025-10-09T05:44:00+02:00,64
2025-10-09T05:45:00+02:00,63
2025-10-09T05:46:00+02:00,63
2025-10-09T05:47:00+02:00,64
2025-10-09T05:48:00+02:00,60
2025-10-09T05:49:00+02:00,61
2025-10-09T05:50:00+02:00,61
2025-10-09T05:51:00+02:00,59
2025-10-09T05:52:00+02:00,62
2025-10-09T05:53:00+02:00,64
2025-10-09T05:54:00+02:00,62
2025-10-09T05:55:00+02:00,63
2025-10-09T05:56:00+02:00,64
2025-10-09T05:57:00+02:00,65
2025-10-09T05:58:00+02:00,63
2025-10-09T05:59:00+02:00,65
2025-10-09T06:00:00+02:00,63
2025-10-09T06:01:00+02:00,61
2025-10-09T06:02:00+02:00,62
2025-10-09T06:03:00+02:00,60
2025-10-09T06:04:00+02:00,61
2025-10-09T06:05:00+02:00,62
2025-10-09T06:06:00+02:00,64
2025-10-09T06:07:00+02:00,65
2025-10-09T06:08:00+02:00,60
2025-10-09T06:09:00+02:00,63
2025-10-09T06:10:00+02:00,61
2025-10-09T06:11:00+02:00,63
2025-10-09T06:12:00+02:00,62
2025-10-09T06:13:00+02:00,60
2025-10-09T06:14:00+02:00,64
2025-10-09T06:15:00+02:00,61
2025-10-09T06:16:00+02:00,61
2025-10-09T06:17:00+02:00,61
2025-10-09T06:18:00+02:00,61
2025-10-09T06:19:00+02:00,63
2025-10-09T06:20:00+02:00,62
2025-10-09T06:21:00+02:00,63
2025-10-09T06:22:00+02:00,63
2025-10-09T06:23:00+02:00,64
2025-10-09T06:24:00+02:00,61
2025-10-09T06:25:00+02:00,60
2025-10-09T06:26:00+02:00,63
2025-10-09T06:27:00+02:00,61
2025-10-09T06:28:00+02:00,63
2025-10-09T06:29:00+02:00,62
2025-10-09T06:30:00+02:00,61
2025-10-09T06:31:00+02:00,62
2025-10-09T06:32:00+02:00,64
2025-10-09T06:33:00+02:00,65
2025-10-09T06:34:00+02:00,62
2025-10-09T06:35:00+02:00,62
2025-10-09T06:36:00+02:00,63
2025-10-09T06:37:00+02:00,60
2025-10-09T06:38:00+02:00,62
2025-10-09T06:39:00+02:00,61
2025-10-09T06:40:00+02:00,62
2025-10-09T06:41:00+02:00,60
2025-10-09T06:42:00+02:00,59
2025-10-09T06:43:00+02:00,58
2025-10-09T06:44:00+02:00,59
2025-10-09T06:45:00+02:00,60
2025-10-09T06:46:00+02:00,60
2025-10-09T06:47:00+02:00,64
2025-10-09T06:48:00+02:00,62
2025-10-09T06:49:00+02:00,59
2025-10-09T06:50:00+02:00,61
2025-10-09T06:51:00+02:00,60
2025-10-09T06:52:00+02:00,60
2025-10-09T06:53:00+02:00,61
2025-10-09T06:54:00+02:00,61
2025-10-09T06:55:00+02:00,60
2025-10-09T06:56:00+02:00,62
2025-10-09T06:57:00+02:00,58
2025-10-09T06:58:00+02:00,60
2025-10-09T06:59:00+02:00,64
2025-10-09T07:00:00+02:00,60
